item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes
FERT-001,split-0-100,26,52,38,Sandy,Maize,37,0,0,gpt-5.5,model-instructions-v4,20-20,"Balanced nitrogen-phosphorous support chosen for high nitrogen conditions with depleted P and K. Considered crop type (Maize), soil (Sandy), temperature 26C, humidity 52, moisture 38, and NPK values (37/0/0).",Moderate confidence based on rule-based interpretation of nutrient balance and environmental conditions.,Recommendation is heuristic and should be validated with field soil testing and agronomic guidance.,Single-fertilizer recommendation generated from isolated row analysis without external datasets.
FERT-002,split-0-100,29,52,45,Loamy,Sugarcane,12,0,36,gpt-5.5,model-instructions-v4,DAP,"High phosphorous requirement indicated by elevated phosphorous balance target and low potassium. Considered crop type (Sugarcane), soil (Loamy), temperature 29C, humidity 52, moisture 45, and NPK values (12/36/0).",Moderate confidence based on rule-based interpretation of nutrient balance and environmental conditions.,Recommendation is heuristic and should be validated with field soil testing and agronomic guidance.,Single-fertilizer recommendation generated from isolated row analysis without external datasets.
FERT-003,split-0-100,34,65,62,Black,Cotton,7,9,30,gpt-5.5,model-instructions-v4,14-35-14,"Phosphorous-focused balanced fertilizer selected due to low nitrogen and moderate-high phosphorous demand. Considered crop type (Cotton), soil (Black), temperature 34C, humidity 65, moisture 62, and NPK values (7/30/9).",Moderate confidence based on rule-based interpretation of nutrient balance and environmental conditions.,Recommendation is heuristic and should be validated with field soil testing and agronomic guidance.,Single-fertilizer recommendation generated from isolated row analysis without external datasets.
FERT-004,split-0-100,32,62,34,Red,Tobacco,22,0,20,gpt-5.5,model-instructions-v4,17-17-17,"General balanced fertilizer appropriate for moderate nutrient profile. Considered crop type (Tobacco), soil (Red), temperature 32C, humidity 62, moisture 34, and NPK values (22/20/0).",Moderate confidence based on rule-based interpretation of nutrient balance and environmental conditions.,Recommendation is heuristic and should be validated with field soil testing and agronomic guidance.,Single-fertilizer recommendation generated from isolated row analysis without external datasets.
FERT-005,split-0-100,28,54,46,Clayey,Paddy,35,0,0,gpt-5.5,model-instructions-v4,20-20,"Balanced nitrogen-phosphorous support chosen for high nitrogen conditions with depleted P and K. Considered crop type (Paddy), soil (Clayey), temperature 28C, humidity 54, moisture 46, and NPK values (35/0/0).",Moderate confidence based on rule-based interpretation of nutrient balance and environmental conditions.,Recommendation is heuristic and should be validated with field soil testing and agronomic guidance.,Single-fertilizer recommendation generated from isolated row analysis without external datasets.
FERT-006,split-0-100,26,52,35,Sandy,Barley,12,10,13,gpt-5.5,model-instructions-v4,10-26-26,"Balanced fertilizer with stronger phosphorous and potassium profile selected for overall nutrient support. Considered crop type (Barley), soil (Sandy), temperature 26C, humidity 52, moisture 35, and NPK values (12/13/10).",Moderate confidence based on rule-based interpretation of nutrient balance and environmental conditions.,Recommendation is heuristic and should be validated with field soil testing and agronomic guidance.,Single-fertilizer recommendation generated from isolated row analysis without external datasets.
FERT-007,split-0-100,25,50,64,Red,Cotton,9,0,10,gpt-5.5,model-instructions-v4,Urea,"Nitrogen supplementation prioritized because nitrogen is comparatively low. Considered crop type (Cotton), soil (Red), temperature 25C, humidity 50, moisture 64, and NPK values (9/10/0).",Moderate confidence based on rule-based interpretation of nutrient balance and environmental conditions.,Recommendation is heuristic and should be validated with field soil testing and agronomic guidance.,Single-fertilizer recommendation generated from isolated row analysis without external datasets.
FERT-008,split-0-100,33,64,50,Loamy,Wheat,41,0,0,gpt-5.5,model-instructions-v4,20-20,"Balanced nitrogen-phosphorous support chosen for high nitrogen conditions with depleted P and K. Considered crop type (Wheat), soil (Loamy), temperature 33C, humidity 64, moisture 50, and NPK values (41/0/0).",Moderate confidence based on rule-based interpretation of nutrient balance and environmental conditions.,Recommendation is heuristic and should be validated with field soil testing and agronomic guidance.,Single-fertilizer recommendation generated from isolated row analysis without external datasets.
FERT-009,split-0-100,30,60,42,Sandy,Millets,21,0,18,gpt-5.5,model-instructions-v4,17-17-17,"General balanced fertilizer appropriate for moderate nutrient profile. Considered crop type (Millets), soil (Sandy), temperature 30C, humidity 60, moisture 42, and NPK values (21/18/0).",Moderate confidence based on rule-based interpretation of nutrient balance and environmental conditions.,Recommendation is heuristic and should be validated with field soil testing and agronomic guidance.,Single-fertilizer recommendation generated from isolated row analysis without external datasets.
FERT-010,split-0-100,29,58,33,Black,Oil seeds,9,7,30,gpt-5.5,model-instructions-v4,14-35-14,"Phosphorous-focused balanced fertilizer selected due to low nitrogen and moderate-high phosphorous demand. Considered crop type (Oil seeds), soil (Black), temperature 29C, humidity 58, moisture 33, and NPK values (9/30/7).",Moderate confidence based on rule-based interpretation of nutrient balance and environmental conditions.,Recommendation is heuristic and should be validated with field soil testing and agronomic guidance.,Single-fertilizer recommendation generated from isolated row analysis without external datasets.
