item_id,ethan_correctness,ethan_explanation,ethan_clarity,ethan_uncertainty,ethan_support,rachel_correctness,rachel_explanation,rachel_clarity,rachel_uncertainty,rachel_support
FERT-001,correct,5,4,1,3,correct,5,4,1,3
FERT-002,correct,5,4,2,3,correct,5,4,3,3
FERT-003,correct,5,4,3,4,correct,5,4,3,4
FERT-004,correct,5,4,3,3,correct,5,4,3,3
FERT-005,correct,5,4,1,3,correct,5,4,2,3
FERT-006,correct,4,3,3,3,correct,4,3,3,3
FERT-007,correct,4,3,1,3,correct,4,3,3,3
FERT-008,correct,4,3,1,3,correct,4,3,1,3
FERT-009,correct,4,3,3,3,correct,4,3,3,3
FERT-010,correct,4,3,2,3,correct,4,3,3,3
FERT-011,correct,4,3,1,3,correct,4,3,1,3
FERT-012,correct,4,3,1,3,correct,4,3,1,3
FERT-013,correct,4,3,2,3,correct,4,3,3,3
FERT-014,correct,4,3,3,3,correct,4,3,3,3
FERT-015,correct,4,3,2,3,correct,4,3,2,3
FERT-016,correct,4,3,2,3,correct,4,3,2,3
FERT-017,correct,4,3,1,3,correct,4,3,1,3
FERT-018,correct,4,3,2,3,correct,4,3,2,3
FERT-019,correct,4,3,2,3,correct,4,3,3,3
FERT-020,correct,4,3,2,3,correct,4,3,2,3
FERT-021,correct,4,3,3,3,correct,4,3,3,3
FERT-022,correct,4,3,1,3,correct,4,3,1,3
FERT-023,correct,4,3,3,4,correct,4,3,3,3
FERT-024,correct,4,3,1,3,correct,4,3,1,3
FERT-025,correct,4,3,2,3,correct,4,3,2,3
FERT-026,correct,4,3,3,3,correct,4,3,3,3
FERT-027,correct,4,3,3,3,correct,4,3,3,3
FERT-028,correct,4,3,1,3,correct,4,3,1,3
FERT-029,correct,4,3,3,3,correct,4,3,3,3
FERT-030,correct,4,3,3,3,correct,4,3,3,3
FERT-031,correct,4,3,3,3,correct,4,3,3,3
FERT-032,correct,4,3,2,3,correct,4,3,2,3
FERT-033,correct,4,3,3,3,correct,4,3,3,3
FERT-034,correct,4,3,3,3,correct,4,3,3,3
FERT-035,correct,4,3,3,3,correct,4,3,3,3
FERT-036,correct,4,3,1,3,correct,4,3,1,3
FERT-037,correct,4,3,3,3,correct,4,3,3,3
FERT-038,correct,4,3,3,3,correct,4,3,3,3
FERT-039,correct,4,3,3,3,correct,4,3,3,3
FERT-040,correct,4,3,3,3,correct,4,3,3,3
FERT-041,correct,4,3,2,3,correct,4,3,2,3
FERT-042,correct,5,3,3,3,correct,4,3,3,3
FERT-043,correct,4,3,3,3,correct,4,3,3,3
FERT-044,correct,4,3,1,3,correct,4,3,1,3
FERT-045,correct,4,3,2,3,correct,4,3,2,3
FERT-046,correct,4,3,2,3,correct,4,3,2,3
FERT-047,correct,4,3,3,3,correct,4,3,3,3
FERT-048,correct,4,3,3,3,correct,4,3,3,3
FERT-049,correct,4,3,1,3,correct,4,3,1,3
FERT-050,correct,4,3,3,3,correct,4,3,3,3
FERT-051,correct,4,3,3,3,correct,4,3,3,3
FERT-052,correct,4,3,3,3,correct,4,3,3,3
FERT-053,correct,4,3,1,3,correct,4,3,1,3
FERT-054,correct,4,3,3,3,correct,4,3,3,3
FERT-055,correct,4,3,3,3,correct,4,3,2,3
FERT-056,correct,4,3,3,3,correct,4,3,3,3
FERT-057,correct,4,3,1,3,correct,4,3,1,3
FERT-058,correct,4,3,3,3,correct,4,3,3,3
FERT-059,correct,4,3,1,3,correct,4,3,1,3
FERT-060,correct,4,3,3,3,correct,4,3,3,3
FERT-061,correct,4,3,1,3,correct,4,3,1,3
FERT-062,correct,4,3,3,3,correct,4,3,3,3
FERT-063,correct,4,3,3,3,correct,4,3,3,3
FERT-064,correct,4,3,3,3,correct,4,3,3,3
FERT-065,correct,4,3,1,3,correct,4,3,1,3
FERT-066,correct,4,3,3,3,correct,4,3,3,3
FERT-067,correct,4,3,3,3,correct,4,3,3,3
FERT-068,correct,4,3,3,3,correct,4,3,3,3
FERT-069,correct,4,3,3,3,correct,4,3,3,3
FERT-070,correct,4,3,3,3,correct,4,3,2,2
FERT-071,correct,4,3,3,3,correct,4,3,3,3
FERT-072,correct,4,3,1,3,correct,4,3,1,3
FERT-073,correct,4,3,3,3,correct,4,3,3,3
FERT-074,correct,4,3,1,3,correct,4,3,1,3
FERT-075,correct,4,3,3,3,correct,4,3,2,3
FERT-076,correct,4,3,3,3,correct,4,3,2,3
FERT-077,correct,4,3,3,3,correct,4,3,3,3
FERT-078,correct,4,3,3,3,correct,4,3,3,3
FERT-079,correct,4,3,3,3,correct,4,3,3,3
FERT-080,correct,4,3,3,3,correct,4,3,3,3
FERT-081,correct,4,3,3,3,correct,4,3,3,3
FERT-082,correct,4,3,1,3,correct,4,3,1,3
FERT-083,correct,4,3,3,3,correct,4,3,2,3
FERT-084,correct,4,3,3,3,correct,4,3,2,3
FERT-085,correct,4,3,3,3,correct,4,3,3,3
FERT-086,correct,4,3,3,3,correct,4,3,3,3
FERT-087,incorrect,4,3,1,1,incorrect,4,2,1,3
FERT-088,correct,4,3,1,3,correct,4,3,1,3
FERT-089,incorrect,4,3,2,3,incorrect,4,3,2,3
FERT-090,correct,4,3,3,3,correct,4,3,3,2
FERT-091,correct,4,3,3,3,correct,4,3,3,3
FERT-092,correct,4,3,3,3,correct,4,3,3,3
FERT-093,correct,4,3,1,3,correct,4,3,1,3
FERT-094,correct,4,3,3,3,correct,4,3,2,3
FERT-095,correct,4,3,3,3,correct,4,3,3,3
FERT-096,correct,4,3,3,3,correct,4,3,3,3
FERT-097,correct,4,3,1,3,correct,4,3,1,3
FERT-098,correct,4,3,3,3,correct,4,3,3,2
FERT-099,correct,4,3,3,3,correct,4,3,3,2
