item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes
FERT-001,split-0-100,26,52,38,Sandy,Maize,37,0,0,gpt-5.5,model-instructions-v2,Urea,"For maize grown in sandy soil, the nutrient profile (N=37, P=0, K=0) together with moisture at 38% suggests Urea as a balanced adjustment under 26°C and 52% humidity conditions.",Confidence is high because nitrogen demand is pronounced while phosphorous remains comparatively low.,Field validation is still advised because sandy soil and 38% moisture may alter nutrient uptake efficiency for maize during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 26°C temperature conditions."
FERT-002,split-0-100,29,52,45,Loamy,Sugarcane,12,0,36,gpt-5.5,model-instructions-v2,14-35-14,"For sugarcane grown in loamy soil, the nutrient profile (N=12, P=36, K=0) together with moisture at 45% suggests 14-35-14 as a balanced adjustment under 29°C and 52% humidity conditions.",Confidence is moderately high because phosphorous demand appears significant relative to the observed nitrogen level in this row.,Field validation is still advised because loamy soil and 45% moisture may alter nutrient uptake efficiency for sugarcane during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 29°C temperature conditions."
FERT-003,split-0-100,34,65,62,Black,Cotton,7,9,30,gpt-5.5,model-instructions-v2,DAP,"For cotton grown in black soil, the nutrient profile (N=7, P=30, K=9) together with moisture at 62% suggests DAP as a balanced adjustment under 34°C and 65% humidity conditions.",Confidence is moderately high because phosphorous demand appears significant relative to the observed nitrogen level in this row.,Field validation is still advised because black soil and 62% moisture may alter nutrient uptake efficiency for cotton during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 34°C temperature conditions."
FERT-004,split-0-100,32,62,34,Red,Tobacco,22,0,20,gpt-5.5,model-instructions-v2,17-17-17,"For tobacco grown in red soil, the nutrient profile (N=22, P=20, K=0) together with moisture at 34% suggests 17-17-17 as a balanced adjustment under 32°C and 62% humidity conditions.",Confidence is moderate because the recommendation balances the reported field conditions without extreme nutrient imbalance.,Field validation is still advised because red soil and 34% moisture may alter nutrient uptake efficiency for tobacco during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 32°C temperature conditions."
FERT-005,split-0-100,28,54,46,Clayey,Paddy,35,0,0,gpt-5.5,model-instructions-v2,Urea,"For paddy grown in clayey soil, the nutrient profile (N=35, P=0, K=0) together with moisture at 46% suggests Urea as a balanced adjustment under 28°C and 54% humidity conditions.",Confidence is high because nitrogen demand is pronounced while phosphorous remains comparatively low.,Field validation is still advised because clayey soil and 46% moisture may alter nutrient uptake efficiency for paddy during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 28°C temperature conditions."
FERT-006,split-0-100,26,52,35,Sandy,Barley,12,10,13,gpt-5.5,model-instructions-v2,20-20,"For barley grown in sandy soil, the nutrient profile (N=12, P=13, K=10) together with moisture at 35% suggests 20-20 as a balanced adjustment under 26°C and 52% humidity conditions.",Confidence is moderate since elevated potassium values indicate the need for a more even nutrient correction.,Field validation is still advised because sandy soil and 35% moisture may alter nutrient uptake efficiency for barley during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 26°C temperature conditions."
FERT-007,split-0-100,25,50,64,Red,Cotton,9,0,10,gpt-5.5,model-instructions-v2,28-28,"For cotton grown in red soil, the nutrient profile (N=9, P=10, K=0) together with moisture at 64% suggests 28-28 as a balanced adjustment under 25°C and 50% humidity conditions.",Confidence is moderate because the recommendation balances the reported field conditions without extreme nutrient imbalance.,Field validation is still advised because red soil and 64% moisture may alter nutrient uptake efficiency for cotton during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 25°C temperature conditions."
FERT-008,split-0-100,33,64,50,Loamy,Wheat,41,0,0,gpt-5.5,model-instructions-v2,Urea,"For wheat grown in loamy soil, the nutrient profile (N=41, P=0, K=0) together with moisture at 50% suggests Urea as a balanced adjustment under 33°C and 64% humidity conditions.",Confidence is high because nitrogen demand is pronounced while phosphorous remains comparatively low.,Field validation is still advised because loamy soil and 50% moisture may alter nutrient uptake efficiency for wheat during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 33°C temperature conditions."
FERT-009,split-0-100,30,60,42,Sandy,Millets,21,0,18,gpt-5.5,model-instructions-v2,17-17-17,"For millets grown in sandy soil, the nutrient profile (N=21, P=18, K=0) together with moisture at 42% suggests 17-17-17 as a balanced adjustment under 30°C and 60% humidity conditions.",Confidence is moderate because the recommendation balances the reported field conditions without extreme nutrient imbalance.,Field validation is still advised because sandy soil and 42% moisture may alter nutrient uptake efficiency for millets during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 30°C temperature conditions."
FERT-010,split-0-100,29,58,33,Black,Oil seeds,9,7,30,gpt-5.5,model-instructions-v2,DAP,"For oil seeds grown in black soil, the nutrient profile (N=9, P=30, K=7) together with moisture at 33% suggests DAP as a balanced adjustment under 29°C and 58% humidity conditions.",Confidence is moderately high because phosphorous demand appears significant relative to the observed nitrogen level in this row.,Field validation is still advised because black soil and 33% moisture may alter nutrient uptake efficiency for oil seeds during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 29°C temperature conditions."
FERT-011,split-0-100,27,54,28,Clayey,Pulses,13,0,40,gpt-5.5,model-instructions-v2,10-26-26,"For pulses grown in clayey soil, the nutrient profile (N=13, P=40, K=0) together with moisture at 28% suggests 10-26-26 as a balanced adjustment under 27°C and 54% humidity conditions.",Confidence is moderate because the recommendation balances the reported field conditions without extreme nutrient imbalance.,Field validation is still advised because clayey soil and 28% moisture may alter nutrient uptake efficiency for pulses during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 27°C temperature conditions."
FERT-012,split-0-100,31,62,48,Sandy,Maize,14,15,12,gpt-5.5,model-instructions-v2,20-20,"For maize grown in sandy soil, the nutrient profile (N=14, P=12, K=15) together with moisture at 48% suggests 20-20 as a balanced adjustment under 31°C and 62% humidity conditions.",Confidence is moderate since elevated potassium values indicate the need for a more even nutrient correction.,Field validation is still advised because sandy soil and 48% moisture may alter nutrient uptake efficiency for maize during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 31°C temperature conditions."
FERT-013,split-0-100,25,50,65,Loamy,Cotton,36,0,0,gpt-5.5,model-instructions-v2,Urea,"For cotton grown in loamy soil, the nutrient profile (N=36, P=0, K=0) together with moisture at 65% suggests Urea as a balanced adjustment under 25°C and 50% humidity conditions.",Confidence is high because nitrogen demand is pronounced while phosphorous remains comparatively low.,Field validation is still advised because loamy soil and 65% moisture may alter nutrient uptake efficiency for cotton during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 25°C temperature conditions."
FERT-014,split-0-100,32,62,41,Clayey,Paddy,24,0,22,gpt-5.5,model-instructions-v2,17-17-17,"For paddy grown in clayey soil, the nutrient profile (N=24, P=22, K=0) together with moisture at 41% suggests 17-17-17 as a balanced adjustment under 32°C and 62% humidity conditions.",Confidence is moderate because the recommendation balances the reported field conditions without extreme nutrient imbalance.,Field validation is still advised because clayey soil and 41% moisture may alter nutrient uptake efficiency for paddy during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 32°C temperature conditions."
FERT-015,split-0-100,26,52,31,Red,Ground Nuts,14,0,41,gpt-5.5,model-instructions-v2,10-26-26,"For ground nuts grown in red soil, the nutrient profile (N=14, P=41, K=0) together with moisture at 31% suggests 10-26-26 as a balanced adjustment under 26°C and 52% humidity conditions.",Confidence is moderate because the recommendation balances the reported field conditions without extreme nutrient imbalance.,Field validation is still advised because red soil and 31% moisture may alter nutrient uptake efficiency for ground nuts during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 26°C temperature conditions."
FERT-016,split-0-100,31,62,49,Black,Sugarcane,10,13,14,gpt-5.5,model-instructions-v2,20-20,"For sugarcane grown in black soil, the nutrient profile (N=10, P=14, K=13) together with moisture at 49% suggests 20-20 as a balanced adjustment under 31°C and 62% humidity conditions.",Confidence is moderate since elevated potassium values indicate the need for a more even nutrient correction.,Field validation is still advised because black soil and 49% moisture may alter nutrient uptake efficiency for sugarcane during active growth.,"Use this recommendation alongside local soil testing and monitor crop response after application, especially under 31°C temperature conditions."
