item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes
FERT-001,split-0-100-subset-no-nutrients,26,52,38,Sandy,Maize,?,?,?,gpt-5.5,model-instructions-no-nutrients-v1,Urea,"Recommendation based on visible conditions only: crop type Maize, soil type Sandy, moisture 38, temperature 26C, and humidity 52. Nutrient values are withheld, so the fertilizer choice is a generalized best-fit estimate.",Moderate confidence due to missing nutrient measurements.,"Nitrogen, phosphorus, and potassium values are unknown; soil testing is recommended before field application.","Maize generally requires stable moisture, healthy root-zone aeration, and balanced macro-nutrients for growth. Soil type Sandy and observed moisture/humidity conditions may affect nutrient uptake and irrigation needs. Actual NPK measurements are withheld, so this recommendation should be validated with local soil and crop assessment."
FERT-002,split-0-100-subset-no-nutrients,29,52,45,Loamy,Sugarcane,?,?,?,gpt-5.5,model-instructions-no-nutrients-v1,Urea,"Recommendation based on visible conditions only: crop type Sugarcane, soil type Loamy, moisture 45, temperature 29C, and humidity 52. Nutrient values are withheld, so the fertilizer choice is a generalized best-fit estimate.",Moderate confidence due to missing nutrient measurements.,"Nitrogen, phosphorus, and potassium values are unknown; soil testing is recommended before field application.","Sugarcane generally requires stable moisture, healthy root-zone aeration, and balanced macro-nutrients for growth. Soil type Loamy and observed moisture/humidity conditions may affect nutrient uptake and irrigation needs. Actual NPK measurements are withheld, so this recommendation should be validated with local soil and crop assessment."
FERT-003,split-0-100-subset-no-nutrients,34,65,62,Black,Cotton,?,?,?,gpt-5.5,model-instructions-no-nutrients-v1,DAP,"Recommendation based on visible conditions only: crop type Cotton, soil type Black, moisture 62, temperature 34C, and humidity 65. Nutrient values are withheld, so the fertilizer choice is a generalized best-fit estimate.",Moderate confidence due to missing nutrient measurements.,"Nitrogen, phosphorus, and potassium values are unknown; soil testing is recommended before field application.","Cotton generally requires stable moisture, healthy root-zone aeration, and balanced macro-nutrients for growth. Soil type Black and observed moisture/humidity conditions may affect nutrient uptake and irrigation needs. Actual NPK measurements are withheld, so this recommendation should be validated with local soil and crop assessment."
FERT-004,split-0-100-subset-no-nutrients,32,62,34,Red,Tobacco,?,?,?,gpt-5.5,model-instructions-no-nutrients-v1,20-20,"Recommendation based on visible conditions only: crop type Tobacco, soil type Red, moisture 34, temperature 32C, and humidity 62. Nutrient values are withheld, so the fertilizer choice is a generalized best-fit estimate.",Moderate confidence due to missing nutrient measurements.,"Nitrogen, phosphorus, and potassium values are unknown; soil testing is recommended before field application.","Tobacco generally requires stable moisture, healthy root-zone aeration, and balanced macro-nutrients for growth. Soil type Red and observed moisture/humidity conditions may affect nutrient uptake and irrigation needs. Actual NPK measurements are withheld, so this recommendation should be validated with local soil and crop assessment."
FERT-025,split-0-100-subset-no-nutrients,33,64,39,Clayey,Paddy,?,?,?,gpt-5.5,model-instructions-no-nutrients-v1,Urea,"Recommendation based on visible conditions only: crop type Paddy, soil type Clayey, moisture 39, temperature 33C, and humidity 64. Nutrient values are withheld, so the fertilizer choice is a generalized best-fit estimate.",Moderate confidence due to missing nutrient measurements.,"Nitrogen, phosphorus, and potassium values are unknown; soil testing is recommended before field application.","Paddy generally requires stable moisture, healthy root-zone aeration, and balanced macro-nutrients for growth. Soil type Clayey and observed moisture/humidity conditions may affect nutrient uptake and irrigation needs. Actual NPK measurements are withheld, so this recommendation should be validated with local soil and crop assessment."
FERT-006,split-0-100-subset-no-nutrients,26,52,35,Sandy,Barley,?,?,?,gpt-5.5,model-instructions-no-nutrients-v1,17-17-17,"Recommendation based on visible conditions only: crop type Barley, soil type Sandy, moisture 35, temperature 26C, and humidity 52. Nutrient values are withheld, so the fertilizer choice is a generalized best-fit estimate.",Moderate confidence due to missing nutrient measurements.,"Nitrogen, phosphorus, and potassium values are unknown; soil testing is recommended before field application.","Barley generally requires stable moisture, healthy root-zone aeration, and balanced macro-nutrients for growth. Soil type Sandy and observed moisture/humidity conditions may affect nutrient uptake and irrigation needs. Actual NPK measurements are withheld, so this recommendation should be validated with local soil and crop assessment."
FERT-069,split-0-100-subset-no-nutrients,25,50,40,Clayey,Pulses,?,?,?,gpt-5.5,model-instructions-no-nutrients-v1,14-35-14,"Recommendation based on visible conditions only: crop type Pulses, soil type Clayey, moisture 40, temperature 25C, and humidity 50. Nutrient values are withheld, so the fertilizer choice is a generalized best-fit estimate.",Moderate confidence due to missing nutrient measurements.,"Nitrogen, phosphorus, and potassium values are unknown; soil testing is recommended before field application.","Pulses generally requires stable moisture, healthy root-zone aeration, and balanced macro-nutrients for growth. Soil type Clayey and observed moisture/humidity conditions may affect nutrient uptake and irrigation needs. Actual NPK measurements are withheld, so this recommendation should be validated with local soil and crop assessment."
FERT-008,split-0-100-subset-no-nutrients,33,64,50,Loamy,Wheat,?,?,?,gpt-5.5,model-instructions-no-nutrients-v1,17-17-17,"Recommendation based on visible conditions only: crop type Wheat, soil type Loamy, moisture 50, temperature 33C, and humidity 64. Nutrient values are withheld, so the fertilizer choice is a generalized best-fit estimate.",Moderate confidence due to missing nutrient measurements.,"Nitrogen, phosphorus, and potassium values are unknown; soil testing is recommended before field application.","Wheat generally requires stable moisture, healthy root-zone aeration, and balanced macro-nutrients for growth. Soil type Loamy and observed moisture/humidity conditions may affect nutrient uptake and irrigation needs. Actual NPK measurements are withheld, so this recommendation should be validated with local soil and crop assessment."
FERT-010,split-0-100-subset-no-nutrients,29,58,33,Black,Oil seeds,?,?,?,gpt-5.5,model-instructions-no-nutrients-v1,10-26-26,"Recommendation based on visible conditions only: crop type Oil seeds, soil type Black, moisture 33, temperature 29C, and humidity 58. Nutrient values are withheld, so the fertilizer choice is a generalized best-fit estimate.",Moderate confidence due to missing nutrient measurements.,"Nitrogen, phosphorus, and potassium values are unknown; soil testing is recommended before field application.","Oil seeds generally requires stable moisture, healthy root-zone aeration, and balanced macro-nutrients for growth. Soil type Black and observed moisture/humidity conditions may affect nutrient uptake and irrigation needs. Actual NPK measurements are withheld, so this recommendation should be validated with local soil and crop assessment."
FERT-015,split-0-100-subset-no-nutrients,26,52,31,Red,Ground Nuts,?,?,?,gpt-5.5,model-instructions-no-nutrients-v1,14-35-14,"Recommendation based on visible conditions only: crop type Ground Nuts, soil type Red, moisture 31, temperature 26C, and humidity 52. Nutrient values are withheld, so the fertilizer choice is a generalized best-fit estimate.",Moderate confidence due to missing nutrient measurements.,"Nitrogen, phosphorus, and potassium values are unknown; soil testing is recommended before field application.","Ground Nuts generally requires stable moisture, healthy root-zone aeration, and balanced macro-nutrients for growth. Soil type Red and observed moisture/humidity conditions may affect nutrient uptake and irrigation needs. Actual NPK measurements are withheld, so this recommendation should be validated with local soil and crop assessment."
