item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes
FERT-007,split-80-20,25,50,64,Red,Cotton,9,0,10,GPT-5.5 Thinking,model-input-output-instructions-v1,20-20,"For Cotton on Red soil at 64 moisture, 25 temperature, and 50 humidity, nitrogen (9) and phosphorous (10) are relatively low-to-moderate with potassium at zero (0). The closest training pattern points to 20-20.","Moderate-to-high confidence for this benchmark pattern because nitrogen and phosphorous are low-to-moderate with potassium at zero; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a lighter balanced N-P suggestion; check whether the relatively low nutrient values call for a moderate-rate application.
FERT-009,split-80-20,30,60,42,Sandy,Millets,21,0,18,GPT-5.5 Thinking,model-input-output-instructions-v1,28-28,"For Millets on Sandy soil at 42 moisture, 30 temperature, and 60 humidity, nitrogen (21) and phosphorous (18) are both moderate while potassium is zero (0). This matches the training pattern for 28-28 recommendations.","High confidence for this benchmark pattern because nitrogen and phosphorous are both moderate with potassium at zero; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a balanced N-P suggestion where K is not indicated by the row; confirm potassium status before omitting K.
FERT-012,split-80-20,31,62,48,Sandy,Maize,14,15,12,GPT-5.5 Thinking,model-input-output-instructions-v1,17-17-17,"For Maize on Sandy soil at 48 moisture, 31 temperature, and 62 humidity, nitrogen (14), potassium (15), and phosphorous (12) are all present in a balanced range. That pattern aligns best with 17-17-17 in the training data.","Moderate confidence for this benchmark pattern because nitrogen, potassium, and phosphorous are all present in a balanced low-to-mid range; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a balanced N-P-K suggestion; verify all three nutrients are needed before applying a complete fertilizer.
FERT-018,split-80-20,25,50,39,Sandy,Barley,21,0,19,GPT-5.5 Thinking,model-input-output-instructions-v1,28-28,"For Barley on Sandy soil at 39 moisture, 25 temperature, and 50 humidity, nitrogen (21) and phosphorous (19) are both moderate while potassium is zero (0). This matches the training pattern for 28-28 recommendations.","High confidence for this benchmark pattern because nitrogen and phosphorous are both moderate with potassium at zero; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a balanced N-P suggestion where K is not indicated by the row; confirm potassium status before omitting K.
FERT-024,split-80-20,28,54,37,Black,Millets,36,0,0,GPT-5.5 Thinking,model-input-output-instructions-v1,Urea,"For Millets on Black soil at 37 moisture, 28 temperature, and 54 humidity, the row shows high nitrogen (36) with potassium (0) and phosphorous (0) both at zero. In the training pattern, this nutrient profile most closely maps to Urea.","High confidence for this benchmark pattern because potassium and phosphorous are both zero while nitrogen is comparatively high; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a nitrogen-focused decision-support suggestion; confirm that adding N without P or K fits the field test and crop stage.
FERT-031,split-80-20,29,58,40,Red,Ground Nuts,24,0,23,GPT-5.5 Thinking,model-input-output-instructions-v1,28-28,"For Ground Nuts on Red soil at 40 moisture, 29 temperature, and 58 humidity, nitrogen (24) and phosphorous (23) are both moderate while potassium is zero (0). This matches the training pattern for 28-28 recommendations.","High confidence for this benchmark pattern because nitrogen and phosphorous are both moderate with potassium at zero; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a balanced N-P suggestion where K is not indicated by the row; confirm potassium status before omitting K.
FERT-035,split-80-20,26,52,48,Loamy,Wheat,23,0,19,GPT-5.5 Thinking,model-input-output-instructions-v1,28-28,"For Wheat on Loamy soil at 48 moisture, 26 temperature, and 52 humidity, nitrogen (23) and phosphorous (19) are both moderate while potassium is zero (0). This matches the training pattern for 28-28 recommendations.","High confidence for this benchmark pattern because nitrogen and phosphorous are both moderate with potassium at zero; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a balanced N-P suggestion where K is not indicated by the row; confirm potassium status before omitting K.
FERT-038,split-80-20,37,70,37,Clayey,Paddy,12,0,41,GPT-5.5 Thinking,model-input-output-instructions-v1,DAP,"For Paddy on Clayey soil at 37 moisture, 37 temperature, and 70 humidity, phosphorous is high (41) while potassium is zero (0) and nitrogen is modest (12). Training rows with this pattern most often use DAP.","High confidence for this benchmark pattern because phosphorous is high, potassium is zero, and nitrogen is low-to-moderate; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a phosphorus-forward suggestion; check whether starter phosphorus is appropriate and whether extra nitrogen is acceptable.
FERT-043,split-80-20,32,62,34,Red,Tobacco,22,0,24,GPT-5.5 Thinking,model-input-output-instructions-v1,28-28,"For Tobacco on Red soil at 34 moisture, 32 temperature, and 62 humidity, nitrogen (22) and phosphorous (24) are both moderate while potassium is zero (0). This matches the training pattern for 28-28 recommendations.","High confidence for this benchmark pattern because nitrogen and phosphorous are both moderate with potassium at zero; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a balanced N-P suggestion where K is not indicated by the row; confirm potassium status before omitting K.
FERT-051,split-80-20,34,65,31,Red,Tobacco,23,0,21,GPT-5.5 Thinking,model-input-output-instructions-v1,28-28,"For Tobacco on Red soil at 31 moisture, 34 temperature, and 65 humidity, nitrogen (23) and phosphorous (21) are both moderate while potassium is zero (0). This matches the training pattern for 28-28 recommendations.","High confidence for this benchmark pattern because nitrogen and phosphorous are both moderate with potassium at zero; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a balanced N-P suggestion where K is not indicated by the row; confirm potassium status before omitting K.
FERT-054,split-80-20,30,60,47,Sandy,Barley,12,0,42,GPT-5.5 Thinking,model-input-output-instructions-v1,DAP,"For Barley on Sandy soil at 47 moisture, 30 temperature, and 60 humidity, phosphorous is high (42) while potassium is zero (0) and nitrogen is modest (12). Training rows with this pattern most often use DAP.","High confidence for this benchmark pattern because phosphorous is high, potassium is zero, and nitrogen is low-to-moderate; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a phosphorus-forward suggestion; check whether starter phosphorus is appropriate and whether extra nitrogen is acceptable.
FERT-057,split-80-20,34,65,54,Loamy,Wheat,38,0,0,GPT-5.5 Thinking,model-input-output-instructions-v1,Urea,"For Wheat on Loamy soil at 54 moisture, 34 temperature, and 65 humidity, the row shows high nitrogen (38) with potassium (0) and phosphorous (0) both at zero. In the training pattern, this nutrient profile most closely maps to Urea.","High confidence for this benchmark pattern because potassium and phosphorous are both zero while nitrogen is comparatively high; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a nitrogen-focused decision-support suggestion; confirm that adding N without P or K fits the field test and crop stage.
FERT-059,split-80-20,25,50,56,Loamy,Sugarcane,11,13,15,GPT-5.5 Thinking,model-input-output-instructions-v1,17-17-17,"For Sugarcane on Loamy soil at 56 moisture, 25 temperature, and 50 humidity, nitrogen (11), potassium (13), and phosphorous (15) are all present in a balanced range. That pattern aligns best with 17-17-17 in the training data.","Moderate confidence for this benchmark pattern because nitrogen, potassium, and phosphorous are all present in a balanced low-to-mid range; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a balanced N-P-K suggestion; verify all three nutrients are needed before applying a complete fertilizer.
FERT-066,split-80-20,36,68,62,Red,Cotton,15,0,40,GPT-5.5 Thinking,model-input-output-instructions-v1,DAP,"For Cotton on Red soil at 62 moisture, 36 temperature, and 68 humidity, phosphorous is high (40) while potassium is zero (0) and nitrogen is modest (15). Training rows with this pattern most often use DAP.","High confidence for this benchmark pattern because phosphorous is high, potassium is zero, and nitrogen is low-to-moderate; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a phosphorus-forward suggestion; check whether starter phosphorus is appropriate and whether extra nitrogen is acceptable.
FERT-068,split-80-20,29,58,55,Loamy,Sugarcane,8,8,33,GPT-5.5 Thinking,model-input-output-instructions-v1,14-35-14,"For Sugarcane on Loamy soil at 55 moisture, 29 temperature, and 58 humidity, phosphorous is high (33), potassium is nonzero (8), and nitrogen is low (8). This resembles the training cases labeled 14-35-14.","High confidence for this benchmark pattern because phosphorous is high with nonzero potassium and low nitrogen, matching the 14-35-14-like training cases; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a phosphorus-heavy N-P-K suggestion; confirm the crop and soil conditions justify high phosphorus.
FERT-073,split-80-20,34,65,48,Loamy,Wheat,23,0,19,GPT-5.5 Thinking,model-input-output-instructions-v1,28-28,"For Wheat on Loamy soil at 48 moisture, 34 temperature, and 65 humidity, nitrogen (23) and phosphorous (19) are both moderate while potassium is zero (0). This matches the training pattern for 28-28 recommendations.","High confidence for this benchmark pattern because nitrogen and phosphorous are both moderate with potassium at zero; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a balanced N-P suggestion where K is not indicated by the row; confirm potassium status before omitting K.
FERT-074,split-80-20,27,53,34,Black,Oil seeds,42,0,0,GPT-5.5 Thinking,model-input-output-instructions-v1,Urea,"For Oil seeds on Black soil at 34 moisture, 27 temperature, and 53 humidity, the row shows high nitrogen (42) with potassium (0) and phosphorous (0) both at zero. In the training pattern, this nutrient profile most closely maps to Urea.","High confidence for this benchmark pattern because potassium and phosphorous are both zero while nitrogen is comparatively high; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a nitrogen-focused decision-support suggestion; confirm that adding N without P or K fits the field test and crop stage.
FERT-079,split-80-20,26,52,36,Clayey,Pulses,7,16,20,GPT-5.5 Thinking,model-input-output-instructions-v1,10-26-26,"For Pulses on Clayey soil at 36 moisture, 26 temperature, and 52 humidity, potassium (16) and phosphorous (20) are both elevated compared with nitrogen (7). This aligns with the 10-26-26-like cases in the training data.","Moderate-to-high confidence for this benchmark pattern because potassium and phosphorous are both elevated relative to nitrogen; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a P-K-forward suggestion; confirm potassium and phosphorus demand before applying.
FERT-083,split-80-20,29,58,65,Black,Cotton,14,0,35,GPT-5.5 Thinking,model-input-output-instructions-v1,DAP,"For Cotton on Black soil at 65 moisture, 29 temperature, and 58 humidity, phosphorous is high (35) while potassium is zero (0) and nitrogen is modest (14). Training rows with this pattern most often use DAP.","High confidence for this benchmark pattern because phosphorous is high, potassium is zero, and nitrogen is low-to-moderate; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a phosphorus-forward suggestion; check whether starter phosphorus is appropriate and whether extra nitrogen is acceptable.
FERT-099,split-80-20,29,58,57,Black,Sugarcane,12,0,10,GPT-5.5 Thinking,model-input-output-instructions-v1,20-20,"For Sugarcane on Black soil at 57 moisture, 29 temperature, and 58 humidity, nitrogen (12) and phosphorous (10) are relatively low-to-moderate with potassium at zero (0). The closest training pattern points to 20-20.","Moderate-to-high confidence for this benchmark pattern because nitrogen and phosphorous are low-to-moderate with potassium at zero; still, it is a limited tabular prediction, not a guaranteed prescription.","This prediction is inferred from a small benchmark table and may miss crop variety, yield target, soil pH, prior fertilizer history, and regional nutrient availability; verify with soil testing and local agronomic guidance.",Use as a lighter balanced N-P suggestion; check whether the relatively low nutrient values call for a moderate-rate application.
