item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes,actual_fertilizer,is_model_fertilizer_exact_match,grader_ethan_recommendation_correctness,grader_ethan_explanation_relevance,grader_ethan_clarity,grader_ethan_uncertainty_calibration,grader_ethan_decision_support_usefulness
FERT-001,split-0-100-subset,26,52,38,Sandy,Maize,37,0,0,gpt-5.5-thinking,v1,10-26-26,"Selected 10-26-26 because phosphorus and potassium support is prioritized where potassium is very low for Maize on Sandy soil with N=37, K=0, P=0.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=38 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",Urea,false,partially_correct,4,3,5,4
FERT-002,split-0-100-subset,29,52,45,Loamy,Sugarcane,12,0,36,gpt-5.5-thinking,v1,Urea,"Selected Urea because nitrogen is the limiting nutrient relative to phosphorus and potassium indicators for Sugarcane on Loamy soil with N=12, K=0, P=36.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=45 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",DAP,false,incorrect,1,3,4,3
FERT-003,split-0-100-subset,34,65,62,Black,Cotton,7,9,30,gpt-5.5-thinking,v1,Urea,"Selected Urea because nitrogen is the limiting nutrient relative to phosphorus and potassium indicators for Cotton on Black soil with N=7, K=9, P=30.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=62 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",14-35-14,false,incorrect,4,3,4,3
FERT-004,split-0-100-subset,32,62,34,Red,Tobacco,22,0,20,gpt-5.5-thinking,v1,14-35-14,"Selected 14-35-14 because phosphorus support is prioritized with moderate nitrogen and potassium contribution for Tobacco on Red soil with N=22, K=0, P=20.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=34 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",28-28,false,partially_correct,4,4,3,4
FERT-025,split-0-100-subset,33,64,39,Clayey,Paddy,13,0,10,gpt-5.5-thinking,v1,28-28,"Selected 28-28 because higher nitrogen-phosphorus support is prioritized for the observed nutrient profile for Paddy on Clayey soil with N=13, K=0, P=10.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=39 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",20-20,false,partially_correct,4,4,3,4
FERT-006,split-0-100-subset,26,52,35,Sandy,Barley,12,10,13,gpt-5.5-thinking,v1,20-20,"Selected 20-20 because a nitrogen-phosphorus blend fits the moderate mixed deficiency pattern for Barley on Sandy soil with N=12, K=10, P=13.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=35 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",17-17-17,false,partially_correct,4,3,3,3
FERT-069,split-0-100-subset,25,50,40,Clayey,Pulses,6,19,16,gpt-5.5-thinking,v1,DAP,"Selected DAP because nitrogen and phosphorus support is prioritized while avoiding a high-potassium blend for Pulses on Clayey soil with N=6, K=19, P=16.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=40 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",10-26-26,false,incorrect,3,3,2,3
FERT-008,split-0-100-subset,33,64,50,Loamy,Wheat,41,0,0,gpt-5.5-thinking,v1,10-26-26,"Selected 10-26-26 because phosphorus and potassium support is prioritized where potassium is very low for Wheat on Loamy soil with N=41, K=0, P=0.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=50 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",Urea,false,incorrect,3,3,3,3
FERT-010,split-0-100-subset,29,58,33,Black,Oil seeds,9,7,30,gpt-5.5-thinking,v1,Urea,"Selected Urea because nitrogen is the limiting nutrient relative to phosphorus and potassium indicators for Oil seeds on Black soil with N=9, K=7, P=30.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=33 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",14-35-14,false,incorrect,3,3,3,3
FERT-015,split-0-100-subset,26,52,31,Red,Ground Nuts,14,0,41,gpt-5.5-thinking,v1,Urea,"Selected Urea because nitrogen is the limiting nutrient relative to phosphorus and potassium indicators for Ground Nuts on Red soil with N=14, K=0, P=41.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=31 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",DAP,false,incorrect,3,3,3,3
FERT-009,split-0-100-subset,30,60,42,Sandy,Millets,21,0,18,gpt-5.5-thinking,v1,14-35-14,"Selected 14-35-14 because phosphorus support is prioritized with moderate nitrogen and potassium contribution for Millets on Sandy soil with N=21, K=0, P=18.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=42 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",28-28,false,partially_correct,4,4,3,3
FERT-007,split-0-100-subset,25,50,64,Red,Cotton,9,0,10,gpt-5.5-thinking,v1,28-28,"Selected 28-28 because higher nitrogen-phosphorus support is prioritized for the observed nutrient profile for Cotton on Red soil with N=9, K=0, P=10.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=64 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",20-20,false,partially_correct,4,4,3,3
FERT-016,split-0-100-subset,31,62,49,Black,Sugarcane,10,13,14,gpt-5.5-thinking,v1,17-17-17,"Selected 17-17-17 because a balanced NPK source fits the mixed nutrient profile for Sugarcane on Black soil with N=10, K=13, P=14.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=49 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",17-17-17,true,correct,5,4,3,4
FERT-079,split-0-100-subset,26,52,36,Clayey,Pulses,7,16,20,gpt-5.5-thinking,v1,DAP,"Selected DAP because nitrogen and phosphorus support is prioritized while avoiding a high-potassium blend for Pulses on Clayey soil with N=7, K=16, P=20.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=36 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",10-26-26,false,incorrect,3,3,3,3
FERT-020,split-0-100-subset,29,58,52,Loamy,Wheat,13,0,36,gpt-5.5-thinking,v1,Urea,"Selected Urea because nitrogen is the limiting nutrient relative to phosphorus and potassium indicators for Wheat on Loamy soil with N=13, K=0, P=36.",Medium confidence; selection is based on row-level nutrient balance and allowed fertilizer classes only.,"Field recommendation should be validated against local soil-test targets, crop stage, and application-rate guidance.","Use as decision support only; moisture=52 and current N/K/P values were considered, but no external answer key or hidden fertilizer label was used.",DAP,false,incorrect,2,2,2,2
