item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes
FERT-001,split-0-100,26,52,38,Sandy,Maize,37,0,0,gemini,model-instructions-v4,Urea,"With a high nitrogen need of 37 and no P or K deficit, Urea is the optimal choice for Maize in Sandy soil.","The 37-0-0 profile leaves no doubt that a pure nitrogen source like Urea is required.","Sandy soil at 38 moisture drains quickly, so monitor for rapid nitrogen leaching.","Temperatures of 26C and 52% humidity offer a stable window for top-dressing."
FERT-002,split-0-100,29,52,45,Loamy,Sugarcane,12,0,36,gemini,model-instructions-v4,DAP,"Sugarcane in this Loamy plot demands a massive 36 phosphorous boost with moderate 12 nitrogen, fitting DAP perfectly.","Given the zero potassium requirement paired with high P, DAP is the most accurate selection.","At 45 moisture, ensure DAP is incorporated deeply enough to avoid surface loss.","Apply during the 29C heat to support immediate root development in the Sugarcane crop."
FERT-003,split-0-100,34,65,62,Black,Cotton,7,9,30,gemini,model-instructions-v4,14-35-14,"The 7 N, 9 K, and dominant 30 P ratio for Cotton strongly aligns with the 14-35-14 blend in Black soil.","High certainty since the roughly 1:4:1 nutrient gap corresponds directly to a 14-35-14 application.","High 62 moisture in Black soil at 34C poses a fungal risk; ensure proper field drainage.","The 65% humidity will aid in dissolving the granular 14-35-14 for root uptake."
FERT-004,split-0-100,32,62,34,Red,Tobacco,22,0,20,gemini,model-instructions-v4,28-28,"Tobacco here requires balanced, high doses of nitrogen (22) and phosphorous (20), making 28-28 ideal.","Zero potassium and equal N/P needs make 28-28 a highly confident match.","Red soil with low 34 moisture might struggle to absorb nutrients rapidly at 32C.","Schedule application when humidity is near the 62% mark to improve soil integration."
FERT-005,split-0-100,28,54,46,Clayey,Paddy,35,0,0,gemini,model-instructions-v4,Urea,"Paddy grown in Clayey conditions needs 35 nitrogen, pointing straight to a Urea application.","A complete lack of K and P requirements guarantees Urea is the correct recommendation.","Watch standing water levels; Clayey soil holding 46 moisture could cause volatilization.","The 28C temperature is excellent for vegetative Paddy growth post-application."
FERT-006,split-0-100,26,52,35,Sandy,Barley,12,10,13,gemini,model-instructions-v4,17-17-17,"An even distribution of 12 N, 10 K, and 13 P means Barley will benefit most from a balanced 17-17-17.","Strong match as the nutrients are needed in almost equal proportions.","Sandy soil at 35 moisture dries fast; ensure irrigation follows the balanced NPK drop.","Apply to support tillering in Barley under these stable 52% humidity conditions."
FERT-007,split-0-100,25,50,64,Red,Cotton,9,0,10,gemini,model-instructions-v4,20-20,"Moderate 9 nitrogen and 10 phosphorous needs for Red soil Cotton are best met by 20-20.","Solid recommendation as the 1:1 N to P ratio perfectly aligns with 20-20 specifications.","High 64 moisture might dilute the 20-20 blend quickly, so monitor crop response.","The cool 25C temp and 50% humidity are ideal for steady Cotton nutrient absorption."
FERT-008,split-0-100,33,64,50,Loamy,Wheat,41,0,0,gemini,model-instructions-v4,Urea,"Wheat requires an immense 41 nitrogen boost in this Loamy field, strictly dictating Urea.","The 41-0-0 nutrient gap leaves Urea as the only viable choice.","Given the 33C heat, volatilization is a major risk at 50 moisture levels.","Split the Urea application to maximize yield potential during 64% humidity spikes."
FERT-009,split-0-100,30,60,42,Sandy,Millets,21,0,18,gemini,model-instructions-v4,28-28,"Millets demanding 21 N and 18 P in Sandy soil require the balanced punch of 28-28.","Confident in 28-28 due to the simultaneous moderate N and P deficits with zero K.","Sandy fields at 42 moisture can leach; consider multiple smaller 28-28 passes.","The 30C weather is warm enough to trigger active Millets growth post-feeding."
FERT-010,split-0-100,29,58,33,Black,Oil seeds,9,7,30,gemini,model-instructions-v4,14-35-14,"High phosphorous (30) with low N (9) and K (7) for Oil seeds makes 14-35-14 the clear winner.","Very confident as this Black soil profile precisely mirrors the 14-35-14 nutrient spread.","Low 33 moisture means the 14-35-14 might sit in the soil longer without dissolving.","58% humidity will lightly assist in breaking down the fertilizer at 29C."
FERT-011,split-0-100,27,54,28,Clayey,Pulses,13,0,40,gemini,model-instructions-v4,DAP,"A massive 40 Phosphorous requirement against 13 Nitrogen for Pulses perfectly suits DAP.","Zero potassium and a 1:3 N to P ratio makes DAP the definitive selection here.","Clayey soil with a very low 28 moisture risks nutrient lockout; irrigation is needed.","Apply DAP near the roots to ensure Pulses benefit fully at 27C."
FERT-012,split-0-100,31,62,48,Sandy,Maize,14,15,12,gemini,model-instructions-v4,17-17-17,"Maize needing 14 N, 15 K, and 12 P indicates a balanced 17-17-17 application is best.","The near-equal triad of nutrient demands makes 17-17-17 the unquestionable choice.","Sandy soil at 48 moisture requires careful monitoring to ensure K is not washed away.","The 31C heat and 62% humidity will drive rapid Maize metabolism of these nutrients."
FERT-013,split-0-100,25,50,65,Loamy,Cotton,36,0,0,gemini,model-instructions-v4,Urea,"Loamy soil hosting Cotton with a 36 N deficit and no P/K needs requires pure Urea.","High certainty for Urea given the strictly nitrogen-only profile.","High 65 moisture at a cooler 25C could lead to waterlogging; apply carefully.","Utilize the 50% humidity window to top-dress the Cotton effectively."
FERT-014,split-0-100,32,62,41,Clayey,Paddy,24,0,22,gemini,model-instructions-v4,28-28,"Paddy demanding 24 N and 22 P in Clayey soil is a textbook case for 28-28.","The 1:1 ratio of high N and P with zero K makes 28-28 highly reliable.","Clayey conditions at 41 moisture are decent, but 32C heat could cause crusting.","28-28 will support steady tillering under 62% humidity conditions."
FERT-015,split-0-100,26,52,31,Red,Ground Nuts,14,0,41,gemini,model-instructions-v4,DAP,"Ground Nuts needing an extreme 41 P and just 14 N in Red soil mandate DAP.","The near 1:3 N to P ratio without any K securely points to DAP.","Low 31 moisture in Red soil requires immediate watering post-application.","The 26C ambient temp is perfect for steady DAP breakdown."
FERT-016,split-0-100,31,62,49,Black,Sugarcane,10,13,14,gemini,model-instructions-v4,17-17-17,"Even demands of 10 N, 13 K, and 14 P for Sugarcane mean 17-17-17 is the right fit.","A balanced NPK footprint in this Black soil confirms 17-17-17 as the best route.","49 moisture is adequate, but ensure the 31C heat doesn't stress the Sugarcane roots.","Optimal all-around nutrition during 62% humidity phases."
FERT-017,split-0-100,33,64,34,Clayey,Pulses,38,0,0,gemini,model-instructions-v4,Urea,"A heavy 38 N demand for Pulses in Clayey soil with zero other needs means Urea.","0 P and 0 K makes Urea the only logical step for this plot.","Dry Clayey soil at 34 moisture might restrict Urea uptake; hydration is key.","Apply Urea to boost vegetative growth while temps hold at 33C."
FERT-018,split-0-100,25,50,39,Sandy,Barley,21,0,19,gemini,model-instructions-v4,28-28,"Barley requiring 21 N and 19 P in Sandy earth is perfectly served by 28-28.","The matching moderate N and P gap with no K confirms 28-28.","Sandy drainage at 39 moisture is moderate; watch for uneven crop coloring.","28-28 supports early Barley development well at a cool 25C."
FERT-019,split-0-100,28,54,65,Black,Cotton,39,0,0,gemini,model-instructions-v4,Urea,"Cotton in wet Black soil needing 39 N exclusively dictates a Urea application.","High certainty due to the 39-0-0 complete nitrogen isolation.","Excessive 65 moisture in Black soil risks denitrification; apply cautiously.","The 54% humidity is favorable for Urea integration at 28C."
FERT-020,split-0-100,29,58,52,Loamy,Wheat,13,0,36,gemini,model-instructions-v4,DAP,"Wheat needing 36 Phosphorous and 13 Nitrogen in Loamy soil aligns directly with DAP.","Zero K and heavily skewed P needs make DAP a highly confident choice.","52 moisture is great, but ensure the 29C heat doesn't dry the topsoil too fast.","DAP will strengthen Wheat root systems under these 58% humidity conditions."
FERT-021,split-0-100,30,60,44,Sandy,Millets,10,0,9,gemini,model-instructions-v4,20-20,"Low but equal needs of 10 N and 9 P for Millets point to a 20-20 blend.","The minor 1:1 N to P deficit is exactly what 20-20 is formulated to correct.","Sandy soil at 44 moisture might leach the 20-20 if overwatered.","The 30C temperature provides a good metabolic rate for Millets to use this."
FERT-022,split-0-100,34,65,53,Loamy,Sugarcane,12,14,12,gemini,model-instructions-v4,17-17-17,"Sugarcane demanding 12 N, 14 K, and 12 P requires the balanced nutrition of 17-17-17.","Near identical NPK demands in Loamy soil make 17-17-17 the unquestioned choice.","At 53 moisture and 34C, salt burn from balanced NPK is a slight risk; monitor closely.","65% humidity will help the Sugarcane process the 17-17-17 efficiently."
