item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes
FERT-001,split-0-100-subset,26,52,38,Sandy,Maize,37,0,0,gpt-5.5-thinking,model-instructions-v2,Urea,"Sandy maize at 26 C with 52% humidity and 38 moisture has no recorded potassium or phosphorous need, while nitrogen is the active nutrient value at 37; Urea is the cleanest single-nutrient fit for that N-driven case.","High confidence: the row presents a simple nitrogen-only pattern for maize in a sandy profile, with K and P both at 0 and moderate moisture.","Sandy soil can lose nitrogen quickly, so the practical rate should be checked against recent rainfall or irrigation rather than inferred from this row alone.",Use this as a nitrogen-focused recommendation for maize; split application would be safer than a heavy one-time dose in sandy soil.
FERT-002,split-0-100-subset,29,52,45,Loamy,Sugarcane,12,0,36,gpt-5.5-thinking,model-instructions-v2,DAP,"Loamy sugarcane at 29 C, 52% humidity, and 45 moisture shows low nitrogen at 12 with high phosphorous at 36 and potassium at 0; DAP fits the strong N-P signal without adding potassium.","Medium-high confidence: the P value is prominent and sugarcane can use early N-P support, but the zero potassium reading makes potash status worth verifying.","Sugarcane often has meaningful potassium demand, so a zero K input may reflect this test row rather than a complete fertility plan.",Interpret DAP as the row-level N-P correction; review potassium separately before field-scale sugarcane application.
FERT-003,split-0-100-subset,34,65,62,Black,Cotton,7,9,30,gpt-5.5-thinking,model-instructions-v2,14-35-14,"Black-soil cotton at 34 C and 65% humidity has high moisture at 62, low nitrogen at 7, potassium at 9, and phosphorous at 30; 14-35-14 gives dominant phosphorus with moderate N and K support.","Medium confidence: the nutrient pattern favors a phosphorus-heavy blend, though the warm, wet cotton setting increases sensitivity to timing and placement.","The 62 moisture value could affect nutrient availability and root-zone movement, so application should not be treated as moisture-independent.","Use 14-35-14 as a balanced cotton starter-style option, with placement adjusted to avoid losses under the wetter black-soil condition."
FERT-004,split-0-100-subset,32,62,34,Red,Tobacco,22,0,20,gpt-5.5-thinking,model-instructions-v2,20-20,"Red-soil tobacco at 32 C, 62% humidity, and 34 moisture has nitrogen 22 and phosphorous 20 with potassium at 0; 20-20 matches the paired N-P need without overcomplicating the K-free input.","Medium confidence: N and P are close enough for a balanced two-nutrient grade, but tobacco response can be sensitive to nutrient form and local practice.","The absence of potassium in the row is a limitation for tobacco, because crop quality considerations may require separate K assessment.",Treat 20-20 as the best row-specific N-P match; validate potassium and chloride-related constraints before operational use on tobacco.
FERT-025,split-0-100-subset,33,64,39,Clayey,Paddy,13,0,10,gpt-5.5-thinking,model-instructions-v2,DAP,"Clayey paddy at 33 C and 64% humidity with 39 moisture shows modest nitrogen 13, phosphorous 10, and potassium 0; DAP is selected to strengthen N-P availability in a wetland crop setting.","Medium confidence: paddy on clayey soil supports an N-P choice, but the phosphorus value is not as dominant as in clearer DAP cases.","Flooded or saturated paddy management can change nitrogen behavior, so timing is a bigger uncertainty than the fertilizer class itself.","Use DAP as an N-P base recommendation for this paddy row, then manage nitrogen timing around water conditions."
FERT-006,split-0-100-subset,26,52,35,Sandy,Barley,12,10,13,gpt-5.5-thinking,model-instructions-v2,17-17-17,"Sandy barley at 26 C, 52% humidity, and 35 moisture has nitrogen 12, potassium 10, and phosphorous 13, a near-even low-to-moderate nutrient profile; 17-17-17 fits the balanced requirement.","High confidence: all three nutrient values are present and clustered, making a balanced NPK grade more defensible than a targeted single-nutrient fertilizer.","Because the soil is sandy, uniform nutrient numbers do not guarantee uniform retention after irrigation or rainfall.","Use 17-17-17 for broad barley support, with lighter or split dosing if leaching risk is present."
FERT-069,split-0-100-subset,25,50,40,Clayey,Pulses,6,19,16,gpt-5.5-thinking,model-instructions-v2,10-26-26,"Clayey pulses at 25 C, 50% humidity, and 40 moisture show low nitrogen 6 with potassium 19 and phosphorous 16; 10-26-26 supports P and K while keeping nitrogen relatively restrained.","Medium-high confidence: pulses generally should not be pushed with excess nitrogen, and this row points more toward P-K support than N loading.","The potassium and phosphorous values are not extremely high, so the selected blend should be interpreted as proportional rather than aggressive correction.","Use 10-26-26 as a P-K weighted option for pulses, and avoid assuming extra nitrogen is beneficial without nodulation or soil-test context."
FERT-008,split-0-100-subset,33,64,50,Loamy,Wheat,41,0,0,gpt-5.5-thinking,model-instructions-v2,Urea,"Loamy wheat at 33 C, 64% humidity, and 50 moisture has nitrogen 41 while potassium and phosphorous are both 0; Urea is the direct match for a nitrogen-only wheat recommendation.","High confidence: the row isolates nitrogen as the only nonzero nutrient input for wheat, and loamy soil with moderate moisture supports predictable incorporation.","The 41 nitrogen value is relatively high, so the practical concern is rate control rather than choosing a broader fertilizer.",Use Urea as the nitrogen source for this wheat row; apply in a controlled dose to avoid excess vegetative growth or loss.
FERT-010,split-0-100-subset,29,58,33,Black,Oil seeds,9,7,30,gpt-5.5-thinking,model-instructions-v2,14-35-14,"Black-soil oil seeds at 29 C, 58% humidity, and 33 moisture have nitrogen 9, potassium 7, and phosphorous 30; 14-35-14 emphasizes phosphorus while still supplying some N and K.","Medium-high confidence: the phosphorus value clearly dominates the row, and the small K value argues for a blend rather than pure DAP.","Low moisture at 33 may slow nutrient movement, so the response could depend on placement and subsequent irrigation.","Use 14-35-14 as a phosphorus-led oilseed recommendation, ensuring the band or placement is reachable under the drier black-soil condition."
FERT-015,split-0-100-subset,26,52,31,Red,Ground Nuts,14,0,41,gpt-5.5-thinking,model-instructions-v2,DAP,"Red-soil ground nuts at 26 C, 52% humidity, and 31 moisture show nitrogen 14, phosphorous 41, and potassium 0; DAP fits the strong P requirement with added nitrogen support.","High confidence: phosphorus is the standout nutrient value, potassium is absent, and ground nuts commonly benefit from early phosphorus availability.","The moisture value of 31 is on the lower side, so dry placement or poor incorporation could reduce the intended phosphorus response.","Use DAP as the N-P source for this ground-nut row, but place it where roots can access it under red-soil, lower-moisture conditions."
