item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes
FERT-001,split-0-100,26,52,38,Sandy,Maize,37,0,0,gpt55-heuristic,model-instructions-v4,Urea,Nitrogen-focused fertilization is prioritized due to low phosphorous and potassium levels.,Moderate confidence from macronutrient pattern.,Excess nitrogen application should be monitored.,"Recommendation based on crop=Maize, soil=Sandy, temperature=26, humidity=52, moisture=38, N=37, P=0, K=0."
FERT-002,split-0-100,29,52,45,Loamy,Sugarcane,12,0,36,gpt55-heuristic,model-instructions-v4,DAP,Low nitrogen with high phosphorous profile suggests a phosphatic fertilizer with nitrogen support.,Moderate confidence based on nutrient imbalance.,Actual soil micronutrients and yield targets were not provided.,"Recommendation based on crop=Sugarcane, soil=Loamy, temperature=29, humidity=52, moisture=45, N=12, P=36, K=0."
FERT-003,split-0-100,34,65,62,Black,Cotton,7,9,30,gpt55-heuristic,model-instructions-v4,DAP,Low nitrogen with high phosphorous profile suggests a phosphatic fertilizer with nitrogen support.,Moderate confidence based on nutrient imbalance.,Actual soil micronutrients and yield targets were not provided.,"Recommendation based on crop=Cotton, soil=Black, temperature=34, humidity=65, moisture=62, N=7, P=30, K=9."
FERT-004,split-0-100,32,62,34,Red,Tobacco,22,0,20,gpt55-heuristic,model-instructions-v4,20-20,Balanced nitrogen and phosphorous supplementation appears suitable.,Lower-to-moderate confidence due to limited agronomic context.,Field testing is recommended before large-scale application.,"Recommendation based on crop=Tobacco, soil=Red, temperature=32, humidity=62, moisture=34, N=22, P=20, K=0."
FERT-005,split-0-100,28,54,46,Clayey,Paddy,35,0,0,gpt55-heuristic,model-instructions-v4,Urea,Nitrogen-focused fertilization is prioritized due to low phosphorous and potassium levels.,Moderate confidence from macronutrient pattern.,Excess nitrogen application should be monitored.,"Recommendation based on crop=Paddy, soil=Clayey, temperature=28, humidity=54, moisture=46, N=35, P=0, K=0."
FERT-006,split-0-100,26,52,35,Sandy,Barley,12,10,13,gpt55-heuristic,model-instructions-v4,28-28,General balanced nutrient supplementation is used as a fallback recommendation.,Lower confidence because nutrient deficiencies are not strongly differentiated.,Local agronomic validation is advised.,"Recommendation based on crop=Barley, soil=Sandy, temperature=26, humidity=52, moisture=35, N=12, P=13, K=10."
FERT-007,split-0-100,25,50,64,Red,Cotton,9,0,10,gpt55-heuristic,model-instructions-v4,28-28,General balanced nutrient supplementation is used as a fallback recommendation.,Lower confidence because nutrient deficiencies are not strongly differentiated.,Local agronomic validation is advised.,"Recommendation based on crop=Cotton, soil=Red, temperature=25, humidity=50, moisture=64, N=9, P=10, K=0."
FERT-008,split-0-100,33,64,50,Loamy,Wheat,41,0,0,gpt55-heuristic,model-instructions-v4,Urea,Nitrogen-focused fertilization is prioritized due to low phosphorous and potassium levels.,Moderate confidence from macronutrient pattern.,Excess nitrogen application should be monitored.,"Recommendation based on crop=Wheat, soil=Loamy, temperature=33, humidity=64, moisture=50, N=41, P=0, K=0."
FERT-009,split-0-100,30,60,42,Sandy,Millets,21,0,18,gpt55-heuristic,model-instructions-v4,28-28,General balanced nutrient supplementation is used as a fallback recommendation.,Lower confidence because nutrient deficiencies are not strongly differentiated.,Local agronomic validation is advised.,"Recommendation based on crop=Millets, soil=Sandy, temperature=30, humidity=60, moisture=42, N=21, P=18, K=0."
FERT-010,split-0-100,29,58,33,Black,Oil seeds,9,7,30,gpt55-heuristic,model-instructions-v4,DAP,Low nitrogen with high phosphorous profile suggests a phosphatic fertilizer with nitrogen support.,Moderate confidence based on nutrient imbalance.,Actual soil micronutrients and yield targets were not provided.,"Recommendation based on crop=Oil seeds, soil=Black, temperature=29, humidity=58, moisture=33, N=9, P=30, K=7."
FERT-011,split-0-100,27,54,28,Clayey,Pulses,13,0,40,gpt55-heuristic,model-instructions-v4,DAP,Low nitrogen with high phosphorous profile suggests a phosphatic fertilizer with nitrogen support.,Moderate confidence based on nutrient imbalance.,Actual soil micronutrients and yield targets were not provided.,"Recommendation based on crop=Pulses, soil=Clayey, temperature=27, humidity=54, moisture=28, N=13, P=40, K=0."
FERT-012,split-0-100,31,62,48,Sandy,Maize,14,15,12,gpt55-heuristic,model-instructions-v4,28-28,General balanced nutrient supplementation is used as a fallback recommendation.,Lower confidence because nutrient deficiencies are not strongly differentiated.,Local agronomic validation is advised.,"Recommendation based on crop=Maize, soil=Sandy, temperature=31, humidity=62, moisture=48, N=14, P=12, K=15."
FERT-013,split-0-100,25,50,65,Loamy,Cotton,36,0,0,gpt55-heuristic,model-instructions-v4,Urea,Nitrogen-focused fertilization is prioritized due to low phosphorous and potassium levels.,Moderate confidence from macronutrient pattern.,Excess nitrogen application should be monitored.,"Recommendation based on crop=Cotton, soil=Loamy, temperature=25, humidity=50, moisture=65, N=36, P=0, K=0."
